runs;prev_run;dim;stochastic;theta;rra;rho1y;gamma;subs;T;kappa1;kappa2;kappa3;pi3;pi2;tp;J;threshold_min;threshold_max;deterministic;gamma_EZ;epsilon_b
1;0;1;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0;0;0;0;0;0;1.5;0.133
2;1;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0;0;0;0;0;0;1.5;0.133
3;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;0;0;0;0;0;1.5;0.133
4;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;1.5;0.133
5;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;1.5;0.133
6;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;1.5;0.3
7;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;1.5;0.3
8;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;1.5;0.5
9;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;1.5;0.5
10;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;1.5;1
11;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;1.5;1
12;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;1.5;2
13;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;1.5;2
14;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;1.5;3
15;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;1.5;3
16;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;1.5;4
17;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;1.5;4
18;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;1.5;0.01
19;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;1.5;0.01
20;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;1.5;0.001
21;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;1.5;0.001
22;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;1.5;0.0001
23;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;1.5;0.0001
24;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;1.5;0.133
25;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;1.5;0.133
26;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;1.5;0.3
27;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;1.5;0.3
28;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;1.5;0.5
29;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;1.5;0.5
30;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;1.5;1
31;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;1.5;1
32;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;1.5;2
33;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;1.5;2
34;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;1.5;3
35;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;1.5;3
36;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;1.5;4
37;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;1.5;4
38;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;1.5;0.01
39;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;1.5;0.01
40;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;1.5;0.001
41;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;1.5;0.001
42;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;1.5;0.0001
43;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;1.5;0.0001
