runs;prev_run;dim;stochastic;theta;rra;rho1y;gamma;subs;T;kappa1;kappa2;kappa3;pi3;pi2;tp;J;threshold_min;threshold_max;deterministic;gamma_EZ;epsilon_b
1;0;1;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0;0;0;0;0;0;0.8;0
2;1;2;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0;0;0;0;0;0;0.8;0
3;2;2;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0.00236;0;0;0;0;0;0.8;0
4;2;2;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;0.8;0
5;2;2;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;0.8;0
6;2;2;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;0.8;0
7;2;2;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;0.8;0
8;0;1;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0;0;0;0;0;0;1.5;0
9;8;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0;0;0;0;0;0;1.5;0
10;9;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;0;0;0;0;0;1.5;0
11;9;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;1.5;0
12;9;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;1.5;0
13;9;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;1.5;0
14;9;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;1.5;0
15;0;1;0;3;3;0.015;0;1;120;0;0;0;2;0;0;0;0;0;0;3;0
16;15;2;0;3;3;0.015;0;1;120;0;0;0;2;0;0;0;0;0;0;3;0
17;16;2;0;3;3;0.015;0;1;120;0;0;0;2;0.00236;0;0;0;0;0;3;0
18;16;2;0;3;3;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;3;0
19;16;2;0;3;3;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;3;0
20;16;2;0;3;3;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;3;0
21;16;2;0;3;3;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;3;0
