runs;prev_run;dim;stochastic;theta;rra;rho1y;gamma;subs;T;kappa1;kappa2;kappa3;pi3;pi2;tp;J;threshold_min;threshold_max;deterministic;gamma_EZ;epsilon_b
1;0;1;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0;0;0;0;0;0;1.5;0
2;1;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0;0;0;0;0;0;1.5;0
3;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;0;0;0;0;0;1.5;0
4;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;1.5;0
5;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.14;0.85;5.7;0;1.5;0
6;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.16;0.85;5.7;0;1.5;0
7;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.17;0.85;5.7;0;1.5;0
8;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.19;0.85;5.7;0;1.5;0
9;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.21;0.85;5.7;0;1.5;0
10;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.22;0.85;5.7;0;1.5;0
11;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.23;0.85;5.7;0;1.5;0
12;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.24;0.85;5.7;0;1.5;0
13;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.25;0.85;5.7;0;1.5;0
14;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.26;0.85;5.7;0;1.5;0
15;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.27;0.85;5.7;0;1.5;0
16;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.28;0.85;5.7;0;1.5;0
17;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.29;0.85;5.7;0;1.5;0
18;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.3;0.85;5.7;0;1.5;0
19;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.31;0.85;5.7;0;1.5;0
20;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.32;0.85;5.7;0;1.5;0
21;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.33;0.85;5.7;0;1.5;0
22;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.34;0.85;5.7;0;1.5;0
23;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.35;0.85;5.7;0;1.5;0
24;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.36;0.85;5.7;0;1.5;0
25;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.37;0.85;5.7;0;1.5;0
26;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.38;0.85;5.7;0;1.5;0
27;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.39;0.85;5.7;0;1.5;0
28;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.4;0.85;5.7;0;1.5;0
29;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.41;0.85;5.7;0;1.5;0
30;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.42;0.85;5.7;0;1.5;0
