runs;prev_run;dim;stochastic;theta;rra;rho1y;gamma;subs;T;kappa1;kappa2;kappa3;pi3;pi2;tp;J;threshold_min;threshold_max;deterministic;gamma_EZ;epsilon_b
46;2;2;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;20;0
47;2;2;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;20;0
48;2;2;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;25;0
49;2;2;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;25;0
50;2;2;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;25;0
51;2;2;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;25;0
52;0;1;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0;0;0;0;0;0;0.2;0
53;52;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0;0;0;0;0;0;0.2;0
54;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;0;0;0;0;0;0.2;0
55;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;0.2;0
56;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;0.2;0
57;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;0.2;0
58;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;0.2;0
59;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;0.4;0
60;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;0.4;0
61;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;0.4;0
62;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;0.4;0
63;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;0.6;0
64;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;0.6;0
65;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;0.6;0
66;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;0.6;0
67;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;0.8;0
68;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;0.8;0
69;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;0.8;0
70;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;0.8;0
71;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;1.2;0
72;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;1.2;0
73;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;1.2;0
74;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;1.2;0
75;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;1.4;0
76;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;1.4;0
77;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;1.4;0
78;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;1.4;0
79;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;1.7;0
80;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;1.7;0
81;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;1.7;0
