runs;prev_run;dim;stochastic;theta;rra;rho1y;gamma;subs;T;kappa1;kappa2;kappa3;pi3;pi2;tp;J;threshold_min;threshold_max;deterministic;gamma_EZ;epsilon_b
1;0;1;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0;0;0;0;0;0;1.5;0.001
2;1;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0;0;0;0;0;0;1.5;0.001
3;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;0;0;0;0;0;1.5;0.001
4;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;1.5;0.001
5;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.02;0.85;5.7;0;1.5;0.001
6;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.03;0.85;5.7;0;1.5;0.001
7;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.05;0.85;5.7;0;1.5;0.001
8;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.08;0.85;5.7;0;1.5;0.001
9;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;1.5;0.001
10;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.12;0.85;5.7;0;1.5;0.001
11;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.15;0.85;5.7;0;1.5;0.001
12;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.18;0.85;5.7;0;1.5;0.001
13;2;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.2;0.85;5.7;0;1.5;0.001
15;0;1;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0;0;0;0;0;0;1.5;0.005
16;15;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0;0;0;0;0;0;1.5;0.005
17;16;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;0;0;0;0;0;1.5;0.005
18;16;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;1.5;0.005
19;16;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.02;0.85;5.7;0;1.5;0.005
20;16;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.03;0.85;5.7;0;1.5;0.005
21;16;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.05;0.85;5.7;0;1.5;0.005
22;16;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.08;0.85;5.7;0;1.5;0.005
23;16;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;1.5;0.005
24;16;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.12;0.85;5.7;0;1.5;0.005
25;16;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.15;0.85;5.7;0;1.5;0.005
26;16;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.18;0.85;5.7;0;1.5;0.005
27;16;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.2;0.85;5.7;0;1.5;0.005
29;0;1;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0;0;0;0;0;0;1.5;0.01
30;29;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0;0;0;0;0;0;1.5;0.01
31;30;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;0;0;0;0;0;1.5;0.01
32;30;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;1.5;0.01
33;30;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.02;0.85;5.7;0;1.5;0.01
34;30;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.03;0.85;5.7;0;1.5;0.01
35;30;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.05;0.85;5.7;0;1.5;0.01
36;30;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.08;0.85;5.7;0;1.5;0.01
37;30;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;1.5;0.01
38;30;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.12;0.85;5.7;0;1.5;0.01
39;30;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.15;0.85;5.7;0;1.5;0.01
40;30;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.18;0.85;5.7;0;1.5;0.01
41;30;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.2;0.85;5.7;0;1.5;0.01
43;0;1;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0;0;0;0;0;0;1.5;0.05
44;43;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0;0;0;0;0;0;1.5;0.05
45;44;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;0;0;0;0;0;1.5;0.05
46;44;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;1.5;0.05
47;44;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.02;0.85;5.7;0;1.5;0.05
48;44;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.03;0.85;5.7;0;1.5;0.05
49;44;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.05;0.85;5.7;0;1.5;0.05
50;44;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.08;0.85;5.7;0;1.5;0.05
51;44;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;1.5;0.05
52;44;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.12;0.85;5.7;0;1.5;0.05
53;44;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.15;0.85;5.7;0;1.5;0.05
54;44;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.18;0.85;5.7;0;1.5;0.05
55;44;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.2;0.85;5.7;0;1.5;0.05
57;0;1;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0;0;0;0;0;0;1.5;0.3
58;57;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0;0;0;0;0;0;1.5;0.3
59;58;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;0;0;0;0;0;1.5;0.3
